TPR,TNR,PPV,NPV,FPR,FNR,FDR,F1,ACC,Dataset,Method
0.6658388059701492,0.6658388059701492,0.683531457627477,0.683531457627477,0.3341611940298508,0.3341611940298508,0.316468542372523,0.6714037296875938,0.7145833333333333,diabetes,TDABC-R
0.6231134328358209,0.6231134328358209,0.6438353895113127,0.6438353895113127,0.3768865671641791,0.3768865671641791,0.3561646104886874,0.6273412876409198,0.6830729166666667,diabetes,TDABC-A
0.6457701492537313,0.6457701492537313,0.66719192680025,0.66719192680025,0.35422985074626867,0.35422985074626867,0.33280807319975003,0.6512290579103344,0.7013020833333333,diabetes,TDABC-M
0.6724358208955223,0.6724358208955223,0.7080060400035122,0.7080060400035121,0.32756417910447766,0.32756417910447766,0.2919939599964879,0.6813595949959423,0.6724358208955223,diabetes,knn
0.753571096870066,0.753571096870066,0.7650576479700804,0.7650576479700802,0.24642890312993407,0.24642890312993404,0.23494235202991967,0.75469816108874,0.753571096870066,sonar,knn
0.6951522388059701,0.6951522388059701,0.7193430178466269,0.7193430178466269,0.3048477611940299,0.30484776119402984,0.2806569821533731,0.7033663221189997,0.6951522388059701,diabetes,wknn
0.9226666666666666,0.9613333333333333,0.9225744013473743,0.9614942434369248,0.03866666666666666,0.07733333333333332,0.07742559865262562,0.9224786585303727,0.9484444444444445,iris,TDABC-R
0.9386666666666666,0.9693333333333333,0.9386666666666666,0.9693333333333333,0.030666666666666665,0.06133333333333333,0.06133333333333333,0.9386666666666666,0.959111111111111,iris,TDABC-A
0.8853333333333332,0.9426666666666667,0.8848321622381512,0.943909694580833,0.05733333333333334,0.11466666666666665,0.11516783776184886,0.8838811930104945,0.9235555555555556,iris,TDABC-M
0.9706666666666667,0.9853333333333333,0.9713687001518165,0.9855169911202185,0.01466666666666668,0.029333333333333322,0.028631299848183567,0.9706497609289618,0.9804444444444446,iris,wknn
0.9666666666666667,0.9833333333333334,0.9669020512081472,0.9833954121674514,0.01666666666666668,0.033333333333333326,0.03309794879185284,0.966660132052549,0.9777777777777779,iris,knn
0.8181201820377078,0.8181201820377079,0.8226675860469729,0.8226675860469728,0.18187981796229216,0.1818798179622922,0.17733241395302712,0.8197555082772879,0.8181201820377078,sonar,wknn
0.7535896721463732,0.7535896721463732,0.7613483214898309,0.7613483214898309,0.24641032785362682,0.24641032785362682,0.23865167851016905,0.7547628375134695,0.7586538461538461,sonar,TDABC-R
0.7669638710875823,0.7669638710875823,0.7828955656336609,0.7828955656336609,0.2330361289124176,0.2330361289124176,0.21710443436633914,0.7683480390623594,0.7740384615384616,sonar,TDABC-A
0.7548992291260332,0.7548992291260332,0.7572849755698798,0.7572849755698798,0.24510077087396676,0.24510077087396676,0.2427150244301201,0.7556099307710671,0.7576923076923077,sonar,TDABC-M
0.9028571428571429,0.9514285714285714,0.902891562379048,0.951730157050798,0.04857142857142857,0.09714285714285714,0.09710843762095213,0.9025550454042625,0.9352380952380952,seeds,TDABC-R
0.900952380952381,0.9504761904761905,0.9017449484811989,0.9508109203044645,0.049523809523809526,0.09904761904761904,0.09825505151880103,0.9007925227943244,0.933968253968254,seeds,TDABC-A
0.8961904761904762,0.9480952380952381,0.896310320569012,0.948355125699521,0.051904761904761905,0.10380952380952381,0.1036896794309879,0.895948778030555,0.9307936507936508,seeds,TDABC-M
0.9894724839722904,0.9894724839722904,0.989568919001385,0.989568919001385,0.010527516027709651,0.010527516027709651,0.01043108099861502,0.9895205051243043,0.9896501457725948,bank,TDABC-R
0.992226668387763,0.992226668387763,0.9918467521666496,0.9918467521666496,0.007773331612236995,0.007773331612236995,0.00815324783335036,0.9920335648339307,0.9921282798833819,bank,TDABC-A
0.9936375371111398,0.9936375371111398,0.9936698664229894,0.9936698664229894,0.0063624628888602035,0.0063624628888602035,0.006330133577010637,0.9936536798598827,0.993731778425656,bank,TDABC-M
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,bank,knn
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,bank,wknn
0.8847619047619046,0.9423809523809523,0.8846106014561741,0.9437185769222758,0.057619047619047646,0.11523809523809529,0.11538939854382586,0.8832455554731351,0.9231746031746031,seeds,wknn
0.8952380952380953,0.9476190476190475,0.8951270402939814,0.9478452048245715,0.05238095238095238,0.10476190476190472,0.1048729597060186,0.8949741392656626,0.9301587301587301,seeds,knn
0.7896825396825397,0.7896825396825398,0.8374362767109538,0.8374362767109538,0.21031746031746035,0.21031746031746035,0.16256372328904622,0.8108026610587363,0.7896825396825398,ionosphere,knn
0.7887301587301587,0.7887301587301587,0.8395853441796453,0.8395853441796453,0.21126984126984127,0.21126984126984127,0.16041465582035477,0.8105216665848751,0.7887301587301587,ionosphere,wknn
0.8566666666666667,0.8566666666666667,0.8284089048944181,0.8284089048944181,0.14333333333333334,0.14333333333333334,0.17159109510558193,0.8225670242881271,0.8256410256410256,ionosphere,TDABC-R
0.8822539682539683,0.8822539682539683,0.8524213459322065,0.8524213459322065,0.11774603174603175,0.11774603174603175,0.14757865406779352,0.8537468799334386,0.8575498575498576,ionosphere,TDABC-A
0.8652380952380951,0.8652380952380951,0.8363484341745211,0.8363484341745211,0.13476190476190475,0.13476190476190475,0.16365156582547885,0.8301822861711582,0.833048433048433,ionosphere,TDABC-M
